,axis,mean,std,skew,kurt,rms,pp,crest,margin,impulse,shape,max,fault,severity,seq,rpm
4,by,0.7503084685874941,0.5116710844417245,0.6644024087449132,-0.12619508387597023,0.9081679202523681,2.8195283386015855,3.1052227233239855,4.3266312997365075,3.7585390284485225,1.2103927361529785,2.8200636625615387,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
5,bz,0.022445721140892057,0.2804912037097941,0.03278803124100743,-0.5523817839694174,0.281387255557507,1.78928,3.3770541530648526,4.742746951547875,4.096695132174693,1.2130972576962467,0.95026,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
6,mic,0.01124331066359772,0.13485275464195895,0.6508303697208954,0.33569003542821285,0.13532035805614984,1.6394199999999999,6.6115698543212655,9.642464783097992,8.266900840016921,1.2503688264919028,0.74474,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
0,ax,0.030773762511007358,1.0982546392233772,-0.4025229933131532,-0.8545373236352782,1.0986833638631892,6.0226,3.9008509102479487,5.0931981098684185,4.53027300379768,1.161355075605728,1.7368,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
1,ay,1.0049639931559349,0.5328873129341123,0.5199983071288914,0.5586489003424209,1.1375061780053766,4.30582701009734,3.786559162654963,4.650185563959419,4.285958969909637,1.131887496220848,4.307234440902886,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
2,az,0.001508554865905554,0.06232917603728515,-0.10713587908930342,0.11499817809594415,0.062347296318179854,0.63272,5.163656148889419,7.653647218619587,6.484880944987571,1.2558700188397163,0.32194,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
3,bx,0.054007111835067026,0.8046552040790275,0.2512540815152556,-0.07208958275305566,0.8064638893394204,5.0586,3.5968132465000777,5.345070735637223,4.51716440822451,1.2558796074886545,2.9007,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
4,by,0.6445911897779139,0.48639664098149626,0.9973740767017731,0.797104492035241,0.8075137680112833,2.900809198460409,3.592634511095488,5.288396084340236,4.500684894780569,1.252753343230618,2.901101831142092,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
5,bz,0.014630981836823018,0.21169590633089447,0.22375007205722577,-0.16589289518080497,0.21220045074817773,1.5118,3.7765706772745014,5.579127216925503,4.7252357822635025,1.2511974979569667,0.80139,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
6,mic,0.01892853067466752,0.147963055749283,0.6431611978307692,0.4279814382436289,0.14916856836980544,2.39532,10.677182313981321,15.718701895227156,13.427493800609293,1.2575877610543893,0.80262,horizontal-misalignment,0.5mm,14.5408.csv,851.1254955880715
0,ax,0.0023657961969106756,0.9525056325923351,-0.39578287786919875,-0.8521593865286419,0.9525065328165371,5.1741,3.8284251859324243,4.998116137847804,4.4484322892928185,1.1619483399175763,1.5275,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
1,ay,0.8799831619706142,0.4676555604317825,0.5601241075312953,0.7352234230284518,0.9965295543856576,3.694287346328852,3.7085709249816374,4.55786283459276,4.199740052984071,1.1324416164441737,3.695700531279557,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
2,az,0.0013535053450848924,0.06524521796846094,-0.09273812023540966,0.1788437557514193,0.06525911606585605,0.85327,7.600930412533213,11.296324638218934,9.562745460426235,1.2581019613938544,0.35724,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
3,bx,-0.027894906582313413,0.8390997104400507,0.18229062581339503,-0.18984407141172177,0.8395614552788461,5.710100000000001,3.7470753096390577,5.445880983854631,4.6427231796155155,1.2390258524221474,3.1459,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
4,by,0.6800542458016207,0.494133898606171,0.8825428114027775,0.4795793247115667,0.8406194395958937,3.1473839972664983,3.744345617803308,5.393727693857563,4.628409769254405,1.2361064500156238,3.1475697148911572,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
5,bz,-0.010712674954571254,0.21542676499024135,0.2117774850844676,-0.19691492171210578,0.21569249848640598,1.61128,3.8185843540215187,5.548846465915896,4.726841829427388,1.2378518820592095,0.82364,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
6,mic,0.02024993659276876,0.152445764266954,0.445708855962461,0.6174295243014174,0.15378449705954111,2.13077,7.836940803814444,11.662634364777823,9.920724284722567,1.2658924614938896,0.92557,horizontal-misalignment,0.5mm,15.36.csv,902.2052301871729
0,ax,0.004002473944891972,0.9229451955772192,-0.3693169670337007,-0.9150046150145297,0.9229519452787844,4.926,3.7052850015577183,4.816898340382527,4.292399703867255,1.1584533179128491,1.5062,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
1,ay,0.8594007534850897,0.4451069029726532,0.5014043534697675,0.5515736273927234,0.9678269380654129,3.4586178316534775,3.5761039472564273,4.353181181715078,4.027282637862934,1.1261648702780713,3.4610497334768247,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
2,az,0.0013750809989567002,0.06952797756833003,-0.06657181122802276,0.19310027835289434,0.06954142870509161,0.7189,5.1905749812927215,7.743495154488221,6.545470964207834,1.2610300376737211,0.36096,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
3,bx,0.007317656417203568,0.9054874887274049,-0.048884296831008346,-0.274769494660815,0.9055151645430358,5.4719,3.1684726135402475,4.69583642971403,3.960670487064467,1.250025160431817,2.8691,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
4,by,0.7272479272812735,0.5416689769908141,0.8038738378698967,-0.028104281667718833,0.9068040593031602,2.869286052488873,3.164239360693203,4.643094166392419,3.945484049174434,1.2468981007524285,2.8693450968834333,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
5,bz,0.005081309469137985,0.2578169331117705,-0.01928483925629241,-0.2517255983889033,0.2578664632515843,1.83846,3.642699357471522,5.287419536086084,4.511736913510062,1.2385696624279632,0.89913,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
6,mic,0.01398162286456836,0.12849957524703765,0.7140943488458439,0.21849470232607215,0.12925771774922049,0.90036,4.823464400088094,6.877694872512844,5.95215450671188,1.2339998832795722,0.62347,horizontal-misalignment,0.5mm,16.384.csv,949.9196764545711
0,ax,0.02819064342509226,1.0378544311184459,-0.3933264202021653,-0.8859061551997662,1.0382350306211898,5.4372,3.5441878683272576,4.619618000353279,4.110741473242887,1.1598542814218884,1.7575,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
1,ay,0.9584895300480697,0.4943768466147127,0.509577062213338,0.5103895325850494,1.0784755965766044,3.7286995851248137,3.457977601933267,4.1999062171946795,3.8908557060675286,1.1251824488083007,3.7293444571935157,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
2,az,0.0012738494300364846,0.0729516409879949,-0.050386237469191394,0.15362656819652676,0.07296260765622523,0.91833,6.470026430856636,9.633846206276056,8.145313842251262,1.2589305359565304,0.44626,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
3,bx,-0.028566283407476155,1.5789514444517256,0.20783580497032328,-0.9116989036028613,1.5792064958785768,7.855700000000001,2.899874089899965,3.8612750089365866,3.4037675837696,1.1737639215525448,4.5795,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
4,by,1.347363729817404,0.8250793072371169,0.34323675717207175,-0.4905822572325169,1.5799183541160065,4.579028706551278,2.8991306981086846,3.843789707043709,3.39951989173985,1.1725997361752631,4.5803898009230615,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
5,bz,-0.01648702169523089,0.5163728081609968,0.13018008265061848,-1.0872071981190479,0.5166348532888335,2.6071,2.917147363183084,3.7552053947609525,3.3588250007177947,1.1514073793833879,1.5071,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
6,mic,0.011839862891265283,0.13133037225108568,0.72824675828536,0.22880326585887678,0.13186271691457707,0.94224,4.93907614858194,7.046434572185985,6.094603458060126,1.2339561640105405,0.65128,horizontal-misalignment,0.5mm,17.408.csv,983.8366668795256
0,ax,0.015005568064726724,0.999101669959329,-0.384943051524117,-0.8719219950106356,0.9992122707765233,5.5348,3.7926876108665977,4.947383261543092,4.403294209946111,1.1609957533359818,1.7451,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
1,ay,0.926441625973963,0.4776987713058268,0.5465789842173354,0.6476729323148924,1.0423479521197563,3.8232501718749687,3.6701563867867772,4.454819212839652,4.129326539818017,1.1251091519381393,3.8255799937264414,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
2,az,0.0013360486847737295,0.08055617807706315,-0.023180369650421473,0.3480809074424447,0.080567089192584,1.2129500000000002,8.075009368215879,12.127842814570164,10.226323340652414,1.2664162819308102,0.56237,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
3,bx,-0.00871416768918477,0.8643271339467088,0.29000556265261546,0.2489340472968764,0.8643692636119377,6.2156,4.265885143337801,6.492136429794369,5.436629224685229,1.274443413736965,3.6873,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
4,by,0.6807959832783441,0.5343040622654707,1.107885243452898,1.2136660578052725,0.8654263772128995,3.68862019526065,4.262573319277815,6.424049341789704,5.418573957418217,1.2711978308765506,3.6889433853069633,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
5,bz,0.0013009684996695785,0.21778260997240173,0.4679466683532518,0.46120613340947436,0.21778604282351124,1.8244099999999999,5.049451221679854,7.61589637952935,6.414584164890301,1.2703527340454819,1.0997,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
6,mic,0.014310337249549953,0.13471976821426312,0.7396624427523862,0.2842405235394878,0.1354774011023333,0.9682999999999999,4.952265060747794,7.100109327996019,6.130906363591397,1.2380004479537343,0.67092,horizontal-misalignment,0.5mm,18.8416.csv,1085.0664354502114
0,ax,0.0003665721879958514,0.9352008574775219,-0.3859084985132704,-0.864118825143585,0.9351989579263442,5.0956,3.792027322039964,4.953544917673253,4.406948075542489,1.1621614775633318,1.5493,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
1,ay,0.872453361332084,0.45061952466992394,0.574302658919846,0.762765251881873,0.9819531392209747,3.579775537253954,3.648530720153024,4.4307774016492845,4.106450101502606,1.1255078870023536,3.5826861941984256,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
2,az,0.0011332825402031257,0.08515478681373381,-0.0009595221316837354,0.22190449597005601,0.08516214813602611,0.84007,5.0361576050776815,7.536533393271199,6.362653440077293,1.263394424682456,0.41118,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
3,bx,0.07176357992008196,0.8665246952564465,-0.07157334337230327,-0.2700537259349445,0.8694894440205638,5.8532,3.7105683366107622,5.359625982306811,4.580631574737473,1.2344824725479728,3.2263,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
4,by,0.7067535454034871,0.5080781692219082,0.8375177941791513,0.290918728036611,0.8704268560044498,3.2271471236733618,3.707886639429407,5.307457501275686,4.566576469222929,1.2315847039826608,3.2274441099794435,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
5,bz,0.023678869711159855,0.25327928046706844,-0.10205854729082756,-0.2508728014754018,0.25438319977583346,1.8246699999999998,3.606881275212129,5.257698243514546,4.4743096383392045,1.2404926297653256,0.90714,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
6,mic,0.013225552090011089,0.13562606211289374,0.746980276915937,0.32356430067041186,0.13626909554945213,0.97232,5.008545754619151,7.179976892290182,6.199337251537778,1.237751945426557,0.68251,horizontal-misalignment,0.5mm,19.6608.csv,1133.6630181848384
0,ax,0.004544601119062936,0.9056736807446317,-0.4013180059929649,-0.8427568910525509,0.905683161283148,5.0296,3.7804611439933464,4.948356616501718,4.398272225695134,1.1634221482962226,1.6057,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
1,ay,0.8490523891120711,0.4361965239484782,0.5939612924752646,0.831736960189017,0.9545452108464066,3.434396873942698,3.602286336518157,4.36446788172574,4.049862193093696,1.1242477179113277,3.4385451706208543,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
2,az,0.000989137147717599,0.09158303145197054,0.018509108463989874,0.3228022896943945,0.09158817854693536,1.4755500000000001,8.296485551468866,12.44466007154239,10.495493361825368,1.2650529307517657,0.75986,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
3,bx,0.053542034430053766,0.8346879045885309,0.14804384878811758,-0.3197170398377427,0.8364016325964562,5.4302,3.401834584142651,4.950526518680286,4.216441439894186,1.2394610424471406,2.8453,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
4,by,0.6771726925677523,0.49236890646421483,0.8296004317248551,0.2070492233696326,0.8372508386721659,2.8458924931833463,3.400028707201965,4.902783905560778,4.203767986892753,1.2363919098648497,2.846676886614285,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
5,bz,0.015670420429209724,0.2452726807312063,0.22390975835726482,0.1183953166728351,0.24577224152105479,2.0953,4.43337291980818,6.651163339356539,5.607022215590562,1.2647305600073822,1.0896,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
6,mic,0.012397857200031403,0.13801743704611436,0.7414574556464761,0.3035911177121293,0.1385728651543361,0.973,4.84200134891275,6.924546292958716,5.983270345011725,1.235701916182911,0.67097,horizontal-misalignment,0.5mm,20.48.csv,1197.1757182226402
0,ax,0.028757156092598338,0.9571773577018045,-0.43263680278493677,-0.7963332169642947,0.9576072698494654,5.2595,3.666116695784773,4.811417374647205,4.271499981434299,1.165129300533609,1.7488,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
1,ay,0.8966616384322432,0.4548254206295541,0.6156746896092744,0.8675006279043034,1.0054190183722347,3.533563831498607,3.5203941559463936,4.24258392337425,3.9473878270776908,1.121291438462949,3.5394712365549745,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
2,az,0.0011323000021998043,0.10178477589369778,-0.03387589983496348,0.23164680660773174,0.10179086358006847,1.1293199999999999,5.693831249836127,8.54442101429874,7.204722238408033,1.2653557722869624,0.54974,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
3,bx,0.03513494067896986,0.5623793657293303,0.0637447102442901,0.24873835483346474,0.5634746742430077,4.7233,4.271531818592409,6.393381884200577,5.398800022682929,1.263902565160333,2.3164,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
4,by,0.4484006877186128,0.34286083266239764,1.1669561163072066,1.582728239712826,0.5644610187572334,2.4102028982651524,4.270182885622599,6.3026904283351435,5.375441759828022,1.2588317418269719,2.4103517818982354,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
5,bz,0.015472709184092753,0.19252258936287853,0.18206457222342742,0.10799979402705029,0.19314294971842913,1.73715,4.9676159621603375,7.364081389457146,6.2413525590945325,1.256408024822488,0.95946,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
6,mic,0.014480910193520801,0.14176494401736445,0.7425109659730362,0.31001648676760585,0.1425023266075809,1.03193,5.050794728299619,7.239506331717266,6.2527002335922415,1.237963641356942,0.71975,horizontal-misalignment,0.5mm,21.504.csv,1264.2538542311213
